shortest to longest half-life,isotopeName,Symbol,massNumber,atomicMassSpecific,percentAbundance,elementName,atomicNumber,neutrons,stable,halfLife-years,halfLife-power10years,halfLife-days,halfLife-hours,halfLife-minutes,halfLife-seconds,halfLife-power10seconds
105,gold-198,Au,,,,gold,79,,,,,2.695,,,,
108,gold-199,Au,,,,gold,79,,,,,3.169,,,,
,mercury-198,Hg,198,,0.09970,mercury,80,,stable,,,,,,,
,mercury-199,Hg,199,,0.16870,mercury,80,,stable,,,,,,,
,mercury-200,Hg,200,,0.23100,mercury,80,,stable,,,,,,,
,mercury-201,Hg,201,,0.13180,mercury,80,,stable,,,,,,,
,mercury-202,Hg,202,,0.29860,mercury,80,,stable,,,,,,,
,mercury-204,Hg,204,,0.06870,mercury,80,,stable,,,,,,,
,thallium-203,Tl,203,,,thallium,81,,stable,,,,,,,
,thallium-205,Tl,205,,,thallium,81,,stable,,,,,,,
179,lead-202,Pb,,,,lead,82,,,52.5,3,,,,,
210,lead-205,Pb,,,,lead,,,,15.3,6,,,,,
194,bismuth-208,Bi,,,,Bismuth,83,,,368,3,,,,,
240,bismuth-209,Bi,,,,Bismuth,83,,,19 ± 2,18,,,,,
205,bismuth-210,Bi,,,,Bismuth,83,,,3.04,6,,,,,
128,polonium-210,Po,,,,polonium,84,,,,,138,,,,
29,polonium-212,Po,,,,polonium,84,,,,,,,,299,-9
34,polonium-214,Po,,,,polonium,84,,,,,,,,164,-6
,astatine-207,At,207,,,astatine,85,,,,,,1.8,,,
,astatine-208,At,208,,,astatine,85,,,,,,1.63,,,
,astatine-209,At,209,,,astatine,85,,,,,,5.41,,,
,astatine-210,At,210,,,astatine,85,,,,,,8.1,,,
,astatine-211,At,211,,,astatine,85,,,,,,7.214,,,
109,radon-222,Rn,,,,radon,86,,,,,3.8235,,,,
,francium-221,Fr,221,,,francium,87,,,,,,,4.9,,
,francium-222,Fr,222,,,francium,87,,,,,,,14,,
,francium-223,Fr,223,,,francium,87,,,,,,,22,,
,francium-224,Fr,224,,,francium,87,,,,,,,3.33,,
,francium-225,Fr,225,,,francium,87,,,,,,,4,,
166,radium-226,Ra,,,,radium,88,,,1600,0,,,,,
,actinium-227,Ac,227,227.028,,actinium,89,,,21.772,0,,,,,
172,thorium-229,Th,,,,thorium,90,,,7340,0,,,,,
