,Isotope,,,,,,,,,,,Half-life,,,,,,
shortest to longest half-life,Isotope Name,Symbol,Mass number (Z) ,Atomic Mass (specific),Percent Abundance,Element Name,Atomic Number (A),Neutrons (n),,,Stable,years,years power of 10,days,hours,minutes,seconds,seconds power of 10
,,Ir,193,192.962 9216,  0.627,iridium,,,,,,,,,,,,
218,potassium-40,K,40,  39.963 998 166(60),  0.000 117,potassium,19,,,,stable,1.277,9,,,,,
249,krypton-78,Kr,,,,krypton,36,,,,,9.2,21,,,,,
188,krypton-81,Kr,,,,krypton,36,,,,,229,3,,,,,
144,krypton-85,Kr,,,,krypton,36,,,,,10.756,0,,,,,
,,Kr,78,  77.920 364 94,  0.003 55,krypton,,,,,,,,,,,,
,,Kr,80,  79.916 378 08,  0.022 86,krypton,,,,,,,,,,,,
,,Kr,82,  81.913 482 73,  0.115 93,krypton,,,,,,,,,,,,
,,Kr,83,  82.914 127 16,  0.115 00,krypton,,,,,,,,,,,,
,,Kr,84,  83.911 497 7282,  0.569 87,krypton,,,,,,,,,,,,
,,Kr,86,  85.910 610 6269,  0.172 79,krypton,,,,,,,,,,,,
180,lanthanum-137,La,,,,lanthanum,57,,,,,60,3,,,,,
224,lanthanum-138,La,,,,lanthanum,57,,,,,102,9,,,,,
,,La,138,137.907 1149,  0.000 8881,,,,,,,,,,,,,
,,La,139,138.906 3563,  0.999 1119,,,,,,,,,,,,,
,lithium-6,li,6,6.015122,0.0759,lithium,3,,,,Stable,,,,,,,
,lithium-7,li,7,7.013003437,0.9241,lithium,3,,,,Stable,,,,,,,
14,lithium-10,Li,10,,,lithium,3,,,,,,,,,,2,-21
51,lithium-11,Li,11,,,lithium,3,,,,,,,,,,8.59,-3
24,lithium-12,Li,12,,,lithium,3,,,,,,,,,,10,-9
7,lithium-4,Li,4,,,lithium,3,,,,,,,,,,325,-24
6,lithium-5,Li,5,,,lithium,3,,,,,,,,,,324,-24
77,lithium-8,Li,8,,,lithium,3,,,,,,,,,,839.9,-3
70,lithium-9,Li,9,,,lithium,3,,,,,,,,,,178.3,-3
221,lutetium-176,Lu,,,,lutetium,71,,,,,38.5,9,,,,,
,,Lu,175,174.940 7752,  0.974 01,,,,,,,,,,,,,
,,Lu,176,175.942 6897,  0.025 99,,,,,,,,,,,,,
100,mendelevium-257,Md,,,,mendelevium,101,,,,,,,,5.52,,,
119,mendelevium-258,Md,,,,mendelevium,101,,,,,,,51.5,,,,
,magnesium-24,Mg,,,0.7899,magnesium,12,,,,stable,,,,,,,
,magnesium-25,Mg,,,0.1000,magnesium,12,,,,stable,,,,,,,
,magnesium-26,Mg,,,0.1101,magnesium,12,,,,stable,,,,,,,
111,manganese-52,Mn,,,,manganese,25,,,,,,,5.591,,,,
206,manganese-53,Mn,,,,manganese,25,,,,,3.7,6,,,,,
,manganese-55,Mn,55,  54.938 043 91(48),  1,manganese,25,,,,stable,,,,,,,
239,molybdenum-100,Mo,,,,molybdenum,42,,,,,8.5,18,,,,,
167,molybdenum-93,Mo,,,,molybdenum,42,,,,,4000,0,,,,,
,,Mo,92,  91.906 807 96,  0.1453,,,,,,,,,,,,,
,,Mo,94,  93.905 084 90,  0.0915,,,,,,,,,,,,,
,,Mo,95,  94.905 838 77,  0.1584,,,,,,,,,,,,,
,,Mo,96,  95.904 676 12,  0.1667,,,,,,,,,,,,,
,,Mo,97,  96.906 018 12,  0.0960,,,,,,,,,,,,,
,,Mo,98,  97.905 404 82,  0.2439,,,,,,,,,,,,,
,,Mo,100,  99.907 4718,  0.0982,,,,,,,,,,,,,
47,meitnerium-266,Mt,,,,meitnerium,109,,,,,,,,,,3.4,-3
4,nitrogen-10,N,10,,,nitrogen,7,,,,,,,,,,200,-24
10,nitrogen-11,N,11,,,nitrogen,7,,,,,,,,,,590,-24
53,nitrogen-12,N,12,,,nitrogen,7,,,,,,,,,,11,-3
96,nitrogen-13,N,13,,,nitrogen,7,,,,,,,,,9.965,,
,nitrogen-14,N,14,  14.003 074 004 43(20),  0.996 36,nitrogen,7,,,,stable,,,,,,,
,nitrogen-15,N,15,  15.000 108 898 88(64),  0.003 64,nitrogen,7,,,,stable,,,,,,,
84,Nitrogen-16,N,16,,,Nitrogen,7,,,,,,,,,,7.13,0
82,Nitrogen-17,N,17,,,Nitrogen,7,,,,,,,,,,4.173,0
73,nitrogen-18,N,18,,,nitrogen,7,,,,,,,,,,622,-3
71,nitrogen-19,N,19,,,nitrogen,7,,,,,,,,,,271,-3
69,nitrogen-20,N,20,,,nitrogen,7,,,,,,,,,,130,-3
64,nitrogen-21,N,21,,,nitrogen,7,,,,,,,,,,87,-3
55,nitrogen-22,N,22,,,nitrogen,7,,,,,,,,,,13.9,-3
56,nitrogen-23,N,23,,,nitrogen,7,,,,,,,,,,14.5,-3
20,sodium-18,Na,18,,,sodium,11,,,,,,,,,,1.34,-21
140,sodium-22,Na,22,,,sodium,11,,,,,2.602,0,,,,,
,sodium-23,Na,23, 22.989 769 2820(19),  1,sodium,11,,,,stable,,,,,,,
102,sodium-24,Na,24,,,sodium,11,,,,,,,,14.96,,,
147,niobium,Nb,,,,niobinm,41,,,,,16.13,0,,,,,
162,niobium-91,Nb,,,,niobium,41,,,,,680,0,,,,,
214,niobium-92,Nb,,,,niobinm,41,,,,,34.7,6,,,,,
176,niobium-94,Nb,,,,niobium,41,,,,,20300,0,,,,,
,,Nb,93,  92.906 3730,  1,,,,,,,,,,,,,
232,neodymium-144,Nd,,,,neodynium,60,,,,,2.29,15,,,,,
238,neodymium-150,Nd,,,,neodynium,60,,,,,6.7,18,,,,,
,,Nd,142,141.907 7290,  0.271 52,,,,,,,,,,,,,
,,Nd,143,142.909 8200,  0.121 74,,,,,,,,,,,,,
,,Nd,144,143.910 0930,  0.237 98,,,,,,,,,,,,,
,,Nd,145,144.912 5793,  0.082 93,,,,,,,,,,,,,
,,Nd,146,145.913 1226,  0.171 89,,,,,,,,,,,,,
,,Nd,148,147.916 8993,  0.057 56,,,,,,,,,,,,,
,,Nd,150,149.920 9022,  0.056 38,,,,,,,,,,,,,
,neon-20,Ne,20,,0.9048,neon,10,,,,stable,,,,,,,
,neon-21,Ne,21,,0.0027,neon,10,,,,stable,,,,,,,
,neon-22,Ne,22,,0.0925,neon,10,,,,stable,,,,,,,
38,nihonium-278,Nh,,,,nihonium,113,,,,,,,,,,340,-6
182,nickel-59,Ni,,,,nickel,28,,,,,76,3,,,,,
156,nickel-63,Ni,,,,nickel,28,,,,,100.1,0,,,,,
,nickel-58,Ni,58,  57.935 342 41(52),  0.680 77,nickel,28,,,,stable,,,,,,,
,nickel-60,Ni,60,  59.930 785 88(52),  0.262 23,nickel,28,,,,stable,,,,,,,
,nickel-61,Ni,61,  60.931 055 57(52),  0.011 399,nickel,28,,,,stable,,,,,,,
,nickel-62,Ni,62,  61.928 345 37(55),  0.036 346(,nickel,28,,,,stable,,,,,,,
,nickel-64,Ni,64,  63.927 966 82(58),  0.009 255,nickel,28,,,,stable,,,,,,,
31,nobelium-250,No,,,,nobelium,102,,,,,,,,,,5.7,-6
94,nobelium-253,No,,,,nobelium,102,,,,,,,,,1.62,,
98,nobelium-259,No,,,,nobelium,102,,,,,,,,,58,,
136,neptunium-235,Np,,,,neptunium,93,,,,,1.084,0,,,,,
184,neptunium-236,Np,,,,neptunium,93,,,,,154,3,,,,,
201,neptunium-237,Np,,,,neptunium,93,,,,,2.144,6,,,,,
106,neptunium-239,Np,,,,neptunium,93,,,,,,,2.356,,,,
9,oxygen-12,O,12,,,oxygen,8,,,,,,,,,,580,-24
50,oxygen-13,O,13,,,oxygen,8,,,,,,,,,,8.58,-3
92,oxygen-14,O,14,,,oxygen,8,,,,,,,,,1.17663,,
95,oxygen-15,O,15,,,oxygen,8,,,,,,,,,2.0373,,
,oxygen-16,O,16,15.994 914 619 57(17),  0.997 57,oxygen,8,,,,stable,,,,,,,
,oxygen-17,O,17,16.999 131 756 50(69),  0.000 38,oxygen,8,,,,stable,,,,,,,
,oxygen-18,O,18,17.999 159 612 86(76),  0.002 05,oxygen,8,,,,stable,,,,,,,
88,oxygen-19,O,19,,,oxygen,8,,,,,,,,,,26.464,0
85,oxygen-20,O,20,,,oxygen,8,,,,,,,,,,13.51,0
81,oxygen-21,O,21,,,oxygen,8,,,,,,,,,,3.42,0
